0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,label
0.16572344,-0.08604607,0.12733263,-0.06234403,-0.018663919,-0.3280244,0.19795616,-0.08823875,-0.23521508,-0.04421008,0.10698035,-0.2207699,-0.1793131,-0.1488468,0.07990717,0.10753728,0.121719174,0.014432764,-0.04031902,0.12601116,0.1328991,0.27468047,0.09139903,-0.118379876,-0.0077857403,0.08192077,-0.24242616,-0.0025085914,0.057043757,0.025424369,-0.047080226,0.064772226,-0.11098096,-0.059616603,-0.13566524,-0.18415706,0.02983522,0.035958845,0.18925388,0.05863448,0.072050124,0.011030425,-0.014728492,-0.1463022,0.006443451,-0.06285954,0.09248536,-0.07759596,0.032151904,0.1842657,0.039479606,0.0003972617,0.09392224,0.14801651,0.084547766,0.18500626,0.08569574,-0.058878653,-0.058123633,0.26812875,0.03984421,-0.20491269,0.05831874,-0.00015712972,1
0.1988776,-0.11557265,0.067199014,0.055515595,-0.014364516,-0.22366403,0.11798893,0.035809524,-0.071478546,0.031343415,0.13018006,-0.11315956,-0.054497547,-0.056707744,0.02902381,0.13970616,0.019904777,-0.12537414,-0.065981075,0.18768798,0.063011885,0.10979697,0.18729609,-0.012493475,0.033217326,0.18357702,-0.075628944,0.013781409,0.012321561,-0.035847638,-0.11307795,0.032628875,-0.1433437,-0.12634984,-0.052154716,-0.07970146,0.029433072,0.04246464,0.1509472,0.021347854,-0.089633614,-0.0365775,-0.011221114,-0.11567506,0.06762683,-0.015037077,0.0054526413,-0.088889144,0.0841545,0.18848617,-0.13245559,0.005432528,0.14325738,0.25017652,0.16017206,0.12593311,0.018923251,-0.098338276,-0.09792641,0.13230446,0.013719723,-0.18718134,-0.0027809343,0.06374395,1
0.16108455,-0.050533906,0.14179443,0.028470017,0.018424606,-0.14106052,0.08351045,0.07666611,-0.021814525,-0.03332743,0.08528264,-0.050993416,-0.0112676695,-0.048827805,0.06543925,0.12799674,0.04654331,-0.08474525,-0.043233447,0.11609643,0.060299873,0.12760371,0.16069382,-0.031196192,-0.049873006,0.13288774,-0.088003054,-0.013457994,0.030756038,-0.06929302,-0.13065152,0.01714651,-0.14436926,-0.11393747,-0.043086555,-0.010999592,0.0071875434,0.06262889,0.2117722,0.0025069606,0.010006746,-0.036647256,0.04905881,-0.084280774,0.041847892,-0.018269189,0.018447334,-0.048723027,-0.02441677,0.15112406,-0.03082184,-0.020227235,0.1011503,0.14037672,0.13931249,0.09188826,0.07681568,-0.029308256,-0.07446028,-0.012431344,0.0801487,-0.14392918,0.006810724,0.026176985,1
0.14094111,-0.08393647,0.14387071,-0.030413173,0.019350829,-0.33313787,0.1951708,-0.13279504,-0.19997631,-0.09917293,0.16796806,-0.26445964,-0.18281172,-0.17229025,-0.063679285,0.04164159,0.11094435,-0.033987436,-0.008578958,0.15887712,0.09162365,0.25260717,0.19493051,-0.1881604,-0.006511431,0.10086895,-0.26077822,-0.07944001,0.0020135622,0.0080492245,0.029120412,0.005117239,-0.071521066,-0.008074949,-0.12890127,-0.15114439,0.070845515,-0.024606368,0.17412454,0.10472127,-0.017677758,0.008328309,0.025626127,-0.14960752,0.064862624,-0.11043585,0.09163418,-0.07987421,-0.01841553,0.17259032,0.053274404,-0.05285267,0.08571379,0.15444972,-0.012410437,0.23536485,-0.018549742,-0.019165067,-0.052200343,0.2724856,-0.018579382,-0.16837782,0.020064127,-0.06715861,1
-0.11952262,-0.083320275,0.20081419,0.116744906,0.08057978,-0.2234253,0.04532712,-0.011244691,-0.44849816,-0.26036012,0.08414267,-0.56725866,-0.3408008,-0.16432147,0.15813741,0.1402735,0.16723476,0.025205234,0.17117687,0.44242358,0.14848246,0.27869055,0.25415605,-0.1833838,0.0022016978,0.071539,-0.35561928,0.015498987,-0.101510614,-0.108976014,0.011750006,-0.14162265,-0.071676545,-0.24854574,-0.28573343,-0.06834288,0.058254726,-0.065831445,-0.012906842,-0.09242665,0.025410462,-0.14024769,0.016414637,-0.05777456,0.21754998,-0.17331909,0.30773258,-0.16199492,-0.033556588,0.14728378,-0.034528095,-0.13042746,0.2641857,0.26904166,-0.0007796469,-0.0648465,0.003500803,-0.056016725,-0.116224855,0.520653,-0.0950235,-0.18646167,0.023101805,-0.047730714,1
0.1618965,-0.12506391,0.12668271,-0.10407227,-0.062067326,-0.37768313,0.26585016,-0.15441671,-0.15633763,-0.13321202,0.15789126,-0.27867,-0.24540524,-0.19279072,-0.024293136,0.1585666,0.12885031,-0.04857861,-0.10004886,0.21141337,0.09513135,0.40791753,0.20170084,-0.25671488,0.03329016,0.10838506,-0.36337128,-0.02202455,-0.017740905,0.016190939,0.051880594,0.05250598,-0.084493,-0.066800915,-0.15939221,-0.23197255,0.010767236,-0.13992694,0.19487827,-0.022407874,-0.034862977,-0.04983757,-0.04491476,-0.17454678,0.011593517,-0.14365022,0.12202128,-0.10655889,0.032810856,0.17475875,0.06777687,-0.12748744,0.10595717,0.25314862,0.04966197,0.23554526,0.071894035,0.0010571824,-0.13073361,0.4249863,-0.051681668,-0.28269887,0.14213943,-0.06959474,1
0.44272473,-0.15864179,0.3528709,-0.03205592,-0.079748146,-0.5907642,0.16749103,-0.3452499,-0.25404376,-0.13251624,0.25034794,-0.29459316,-0.41373974,-0.40316144,-0.014726192,0.25372764,0.19456153,-0.03708991,0.073510654,0.4330036,0.08520851,0.5585284,0.28924862,-0.23531754,0.018846361,0.23634495,-0.45474574,0.10258031,0.13990727,0.17025211,-0.03254877,0.17910837,-0.21363248,-0.16065855,-0.04563012,-0.3707505,0.21087898,0.018868212,0.4201742,0.17305414,0.074060485,-0.04069069,-0.027476499,-0.26839575,0.06800173,-0.20377782,0.10037496,-0.28659126,0.114656545,0.17191409,0.15043099,-0.18285425,0.13280787,0.15933077,0.20628305,0.31899706,0.10914047,-0.16440699,-0.06741662,0.39185277,-0.106083885,-0.32773328,-0.02970992,-0.083874874,1
-0.23863474,-0.26590782,0.14908516,0.34180522,0.16569968,0.24599406,-0.051995724,0.26029772,-0.8271009,-0.4710052,0.15982346,-0.5638299,-0.57604903,0.15256412,0.5504215,0.49918225,0.012307185,0.320788,0.28231192,0.47949955,0.5905397,0.108632386,0.5397764,-0.26275325,-0.041298926,0.26187116,-0.21971694,-0.20015012,0.026481533,-0.014228298,-0.034518447,0.056198664,-0.088090435,-0.26522744,-0.50631773,-0.02536489,0.12150015,-0.12619253,-0.0018581487,-0.44952792,0.09731329,0.018085234,0.114057384,-0.21446294,0.40794194,-0.5196318,0.021939153,-0.08737342,-0.024315625,0.27875036,-0.0851852,-0.27803153,0.53677845,0.4239998,0.15937945,-0.37016493,0.20785299,-0.1922513,-0.302289,0.8247507,-0.21295996,-0.028499268,-0.26532713,0.03166455,1
0.023149077,-0.014306436,0.102083944,0.01766619,0.002905021,-0.07338813,-0.038264968,0.024645938,0.0023212326,-0.027258512,0.07146462,-0.01550949,0.031620614,-0.002614241,-0.044230953,0.010740426,-0.020591408,0.037708897,0.013681017,0.10781434,0.055520657,-0.016970323,0.10928033,0.0019563874,-0.01330138,0.088267006,-0.11216177,-0.04389691,-0.06397387,-0.046889827,-0.007849948,0.027085388,-0.1091039,-0.03843966,0.06299433,0.015665764,0.024897931,0.042735334,0.09664201,0.015587662,0.032087237,0.09129623,0.0001100346,-0.09447133,-0.004274535,-0.07378333,0.0016920851,-0.013280744,-0.018550586,0.00025701337,0.029830381,-0.0063846726,0.009921198,0.068678424,0.07863768,0.092996426,0.04350985,-0.039718807,-0.011285034,-0.031627584,0.019518588,-0.049669143,-0.014954986,0.025373429,1
0.078308,-0.02996093,0.08611657,0.031629473,-0.011174951,-0.11523233,-0.01367573,0.10628836,-0.058030702,0.0037570233,0.07894574,-0.085717775,0.04760258,0.031247456,0.028087903,0.04476559,-0.021671223,0.010509275,-0.028878026,0.016798018,0.058921862,0.0697088,0.12307372,0.02514258,0.02022538,0.08720626,-0.04454244,-0.017414968,-0.028971327,-0.036992166,-0.06830986,0.014683911,-0.15490606,-0.12888625,-0.0146891475,0.046764188,0.0746095,0.10854496,0.16556095,0.021003598,-0.0017639296,0.037751414,0.019321032,-0.12904118,-0.007390484,-0.009422146,-0.026533756,-0.046060085,0.046256695,0.085484765,0.002276344,0.026329849,0.023266297,0.13054708,0.14198364,0.10536682,0.06868081,-0.07804223,-0.052214336,0.03827499,0.056254845,-0.08903976,-0.026152339,0.007531531,1
