0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,label
0.38617212,1.6657264,0.23240879,1.0152713,-0.28113317,-1.2728417,2.2383158,-2.837986,-0.9601119,1.901447,0.38003075,0.20098236,-0.6635927,-0.6547695,-0.88446814,1.138818,-1.4128379,-1.2583501,-0.88604486,2.5605416,-1.2221097,1.7646002,-1.2201905,-5.5518365,-0.61833847,0.49119508,-2.7912478,-3.0994751,0.7946403,0.9637925,0.31381035,-0.33883104,0.6441599,-0.44319162,-1.4699457,1.5557324,-2.4108284,-1.5720695,0.04846234,0.46382487,-0.13543299,3.3874748,-1.0677012,-0.3710345,1.2716831,-3.0859716,-0.22180675,-2.5463176,0.52440345,1.5344523,1.2125252,-0.8351382,-0.64298224,-0.87576914,2.5994349,0.28466004,-0.18712078,-2.6569061,-2.3239,-0.25743455,0.49484667,-2.1027982,0.2679146,-1.2736044,1
0.34700596,1.4378303,0.13081162,0.9411246,-0.24231268,-0.97824943,1.7438413,-2.2683578,-0.77676433,1.6534837,0.21516377,-0.0016490901,-0.632775,-0.6627183,-0.829872,0.82814914,-1.3111353,-1.009924,-0.72628975,1.9860127,-1.0602723,1.542219,-0.9302264,-4.467347,-0.48762047,0.46315357,-2.2525423,-2.7015085,0.7574063,0.76271015,0.24501081,-0.21404074,0.625176,-0.41679066,-1.2623601,1.3438964,-2.015741,-1.2467374,-0.050656002,0.37226886,-0.10063465,2.7443166,-0.95656264,-0.34322375,1.051562,-2.6585357,-0.19937436,-2.165742,0.35764903,1.3701127,1.212738,-0.7994113,-0.52914274,-0.74875295,2.2312057,0.20858252,-0.058151696,-2.216135,-1.972775,-0.20120648,0.37800026,-1.7860328,0.17881295,-1.1237345,1
0.49422342,1.983153,0.30633947,1.2465228,-0.38119248,-1.3505481,2.6396606,-3.3041344,-1.2258315,2.2499282,0.46954757,0.12953188,-0.7694952,-0.760111,-1.0956583,1.229847,-1.7659303,-1.5897192,-1.0671442,2.9789,-1.4196297,2.0319715,-1.4706835,-6.505827,-0.76563644,0.6549503,-3.2452433,-3.7163506,0.9421985,0.9922021,0.44726655,-0.3329101,0.7855421,-0.55693126,-1.7848129,1.8697919,-2.7943347,-1.8520458,0.0821522,0.51359886,-0.08446104,3.9892592,-1.2725362,-0.35954425,1.4622577,-3.6881566,-0.14826754,-2.9852276,0.6615802,1.8695773,1.5388087,-1.012445,-0.85959727,-1.0455043,3.0855198,0.28299037,-0.34026554,-3.2889452,-2.77477,-0.31664452,0.5791441,-2.5220816,0.25105244,-1.4270436,1
0.525063,2.103858,0.32856104,1.4480208,-0.3942854,-1.558578,2.9868274,-3.7251139,-1.4148726,2.4754055,0.49077144,0.13951975,-0.83152413,-0.8235243,-1.1160885,1.45656,-2.008254,-1.827772,-1.2655951,3.4338992,-1.6132051,2.3831213,-1.5734663,-7.3525114,-0.8776319,0.72681385,-3.736682,-4.2363853,1.1054121,1.152135,0.46695825,-0.4679892,0.96028227,-0.74338585,-2.0963745,2.1263723,-3.1855376,-2.1743567,0.10372909,0.6417619,-0.1781751,4.553898,-1.4205638,-0.42897177,1.604896,-4.201783,-0.10295989,-3.4056244,0.79544145,2.176338,1.8463659,-1.2547953,-0.96501327,-1.2417867,3.5192435,0.30610996,-0.37083185,-3.6571896,-3.188083,-0.3781567,0.6776874,-2.8223805,0.28271127,-1.609129,1
0.26768667,1.2694168,0.21019113,0.8260614,-0.16166879,-0.9586476,1.721529,-2.1173804,-0.7833583,1.4681642,0.215068,0.10965388,-0.55598795,-0.532047,-0.6165136,0.8144951,-1.00854,-0.9640587,-0.6713629,1.8916022,-0.94719714,1.3093083,-0.9869073,-4.312916,-0.52868587,0.42494747,-2.0980766,-2.3345406,0.65102386,0.75252676,0.22275665,-0.21717925,0.47273144,-0.4073006,-1.1369554,1.1982656,-1.7689996,-1.162933,0.105884515,0.34613785,-0.124538615,2.5778544,-0.82279336,-0.23767501,0.8546019,-2.35254,-0.2098912,-1.9172608,0.42828494,1.1302478,0.93296397,-0.6654078,-0.5653385,-0.7246675,1.9074944,0.1671404,-0.07321166,-2.0936747,-1.8187063,-0.19008513,0.4914591,-1.699257,0.2855853,-0.94206387,1
0.24228683,0.9903697,0.058202222,0.69765717,-0.15813051,-0.67774075,1.2600063,-1.6058409,-0.54990876,1.1826578,0.14045987,-0.0011034589,-0.4713542,-0.44818455,-0.5699949,0.5269703,-0.8864091,-0.7537713,-0.5040406,1.4115943,-0.76213837,1.09855,-0.63236827,-3.1937587,-0.35678777,0.34793434,-1.5782297,-1.8989599,0.47664806,0.62869287,0.22405374,-0.13853551,0.4962192,-0.2777841,-0.9094438,0.893918,-1.4420618,-0.8818958,0.011191437,0.24755473,-0.076439865,2.0183108,-0.65667045,-0.30713508,0.69620955,-1.9315189,-0.11450242,-1.5198776,0.28071567,0.9874913,0.8928746,-0.6029979,-0.38433507,-0.58537674,1.5796905,0.09947014,0.010980608,-1.6484154,-1.4008275,-0.10917215,0.28617495,-1.2751304,0.09457534,-0.81427747,1
0.24956173,1.2048374,0.20247838,0.8104077,-0.15827854,-0.92783475,1.663555,-2.0337875,-0.74507725,1.4072081,0.21218006,0.09770905,-0.5529925,-0.49492925,-0.57863986,0.7834448,-0.9548495,-0.9393459,-0.6480332,1.8324672,-0.9017698,1.2772461,-0.951497,-4.147952,-0.52699524,0.40797833,-2.0128734,-2.2398403,0.63307273,0.7155663,0.2248739,-0.20653738,0.459208,-0.39307082,-1.0802835,1.1644255,-1.7038541,-1.1329174,0.11126023,0.3361999,-0.11261886,2.4967241,-0.7823856,-0.22314325,0.8209779,-2.2520819,-0.20126998,-1.8529401,0.42038596,1.0937529,0.90161395,-0.6405246,-0.5568751,-0.69829166,1.8269488,0.17413744,-0.07706201,-2.025326,-1.7633374,-0.1704853,0.48528522,-1.63761,0.2820642,-0.91960496,1
0.1877284,0.8909179,0.1871957,0.65607715,-0.16832805,-0.6571989,1.204155,-1.5092745,-0.39915994,0.93968046,0.14809358,0.039726235,-0.3686901,-0.3968953,-0.42412242,0.5029835,-0.67057973,-0.7155378,-0.47263968,1.2467922,-0.7122097,0.9465832,-0.68345034,-2.9110568,-0.33107644,0.27600107,-1.3770562,-1.6316446,0.3377422,0.4851861,0.19438443,-0.24585812,0.32697034,-0.25618097,-0.81754035,0.79117423,-1.2330021,-0.79939216,0.09561474,0.24582037,-0.11067702,1.7412398,-0.5699819,-0.18330188,0.5983701,-1.5645404,-0.16235623,-1.3635949,0.26193872,0.7306908,0.6943259,-0.45463243,-0.44650567,-0.55899626,1.354965,0.11274747,-0.08912834,-1.5412372,-1.2806083,-0.11396689,0.2508592,-1.179482,0.23066473,-0.6240935,1
0.20911337,1.3480164,0.18462437,0.87204856,-0.15416996,-1.0008873,1.8176842,-2.205195,-0.78480214,1.5396552,0.24984762,0.11652409,-0.579536,-0.5444481,-0.61747867,0.8616773,-1.0356572,-1.050969,-0.67593396,1.9743259,-1.0000451,1.3683766,-1.0633061,-4.451323,-0.5999111,0.4656339,-2.2192295,-2.439094,0.6805459,0.74302834,0.26816297,-0.28432488,0.5503421,-0.40200576,-1.1522056,1.2847892,-1.8891549,-1.2466974,0.109789744,0.38561204,-0.13818379,2.7051814,-0.8874017,-0.23784474,0.9675903,-2.411105,-0.24953248,-2.0184288,0.42224023,1.2143927,0.96332675,-0.68908787,-0.5668985,-0.78523046,2.0071514,0.19402196,-0.098948345,-2.211695,-1.8873544,-0.17109846,0.4646135,-1.7653468,0.26961526,-0.97529495,1
0.77422327,3.1817582,0.2707778,1.8536313,-0.69571644,-2.28469,4.255749,-5.537295,-2.1454377,3.6062927,0.56538826,0.42286405,-1.3628241,-1.345646,-1.765361,2.029424,-3.161854,-2.5628843,-1.8660822,4.966031,-2.4775372,3.419828,-2.1974702,-10.888226,-1.1995672,1.0746043,-5.375849,-6.3717885,1.6908233,1.539569,0.6259206,-0.69870883,1.3410801,-0.7897224,-2.86926,3.1877155,-4.6901345,-3.0197585,-0.24653101,0.89580053,-0.38747716,6.6988187,-2.0001543,-0.53354895,2.439748,-6.069945,-0.31304783,-5.101251,1.1469624,3.3649955,2.738638,-1.8201019,-1.4762117,-1.7432654,5.2294583,0.41443813,-0.54480225,-5.253079,-4.725644,-0.7535462,0.8047717,-4.1224003,0.49405274,-2.4629607,1
